name,ring,quadrant,isNew,description
Java,adopt,languages & frameworks,FALSE,"<a target=""_blank"" href=""https://openjdk.java.net/"">OpenJDK Homepage</a><br><br><a target=""_blank"" href=""https://www.oracle.com/technetwork/java/index.html"">Oracle Java Homepage</a>"
Kotlin,adopt,languages & frameworks,FALSE,
C for SAS Analytics,adopt,languages & frameworks,FALSE,
Javascript,adopt,languages & frameworks,FALSE,
Node,adopt,languages & frameworks,FALSE,
JUnit,adopt,languages & frameworks,FALSE,
Mockito,adopt,languages & frameworks,FALSE,
Python,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Pact,adopt,languages & frameworks,TRUE,
Spring,adopt,languages & frameworks,FALSE,
Spring Cloud,adopt,languages & frameworks,FALSE,
Spock,adopt,languages & frameworks,FALSE,
Spring Data,adopt,languages & frameworks,FALSE,
SQL,adopt,languages & frameworks,FALSE,
Swift,adopt,languages & frameworks,FALSE,
OpenAPI / Swagger,adopt,languages & frameworks,FALSE,
AWS,adopt,languages & frameworks,FALSE,
Resilience4J,adopt,languages & frameworks,FALSE,
Terraform,adopt,languages & frameworks,FALSE,
Cognito,adopt,languages & frameworks,FALSE,
ArchUnit,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
JUnit 5,adopt,languages & frameworks,FALSE,
Lombok,adopt,languages & frameworks,FALSE,
Spring Feign,adopt,languages & frameworks,TRUE,
Jest,adopt,languages & frameworks,TRUE,
Mobile Test Framework,trial,languages & frameworks,FALSE,
Cypress,trial,languages & frameworks,FALSE,
Vavr,trial,languages & frameworks,TRUE,
Jetpack Compose,trial,languages & frameworks,TRUE,
Redis,trial,languages & frameworks,TRUE,
VueJS,assess,languages & frameworks,FALSE,
Java Modules (Jigsaw),assess,languages & frameworks,FALSE,
HTTP/2,assess,languages & frameworks,FALSE,
JMockit,assess,languages & frameworks,FALSE,
Java Version Support,assess,languages & frameworks,FALSE,
REST Assured,assess,languages & frameworks,FALSE,
Coherence,assess,languages & frameworks,FALSE,
Dart Lambdas/Flutter,assess,languages & frameworks,FALSE,
"Column Store Databases (MariaDB, Clickhouse, Redshift, SQL Server Cluster)",assess,languages & frameworks,FALSE,
Terraform cdktf,assess,languages & frameworks,TRUE,
express.js,assess,languages & frameworks,TRUE,
Hazelcast,hold,languages & frameworks,TRUE,
MinIO (Mock Third Party Services),hold,languages & frameworks,TRUE,
Guava Cache,hold,languages & frameworks,TRUE,
Kubeapps,hold,languages & frameworks,FALSE,
Helm,hold,languages & frameworks,FALSE,
SAS Macro,hold,languages & frameworks,FALSE,
C#,hold,languages & frameworks,FALSE,
Groovy for Testing,hold,languages & frameworks,FALSE,
Hibernate,hold,languages & frameworks,FALSE,
Jenkins Pipelines,hold,languages & frameworks,FALSE,
TestNG,hold,languages & frameworks,FALSE,
Excel Macro for Testing,hold,languages & frameworks,FALSE,
WireMock,hold,languages & frameworks,FALSE,
Powershell,hold,languages & frameworks,FALSE,
Pester,hold,languages & frameworks,FALSE,
Scientist,hold,languages & frameworks,FALSE,
Selenium,hold,languages & frameworks,FALSE,
Spring Data REST,hold,languages & frameworks,FALSE,
Akka,hold,languages & frameworks,FALSE,
Vaadin,hold,languages & frameworks,FALSE,
Grails,hold,languages & frameworks,FALSE,
Perl,hold,languages & frameworks,FALSE,
RestEasy,hold,languages & frameworks,FALSE,
Ember,hold,languages & frameworks,FALSE,
Cucumber,hold,languages & frameworks,FALSE,
PowerMock for Statics,hold,languages & frameworks,FALSE,
Aurora,hold,languages & frameworks,FALSE,
TestNG,hold,languages & frameworks,FALSE,Usage dependent - value seen in UI testing
SpringClound Contract with WireMock,hold,languages & frameworks,TRUE,
AWS SNS,adopt,platforms,FALSE,
AWS SQS,adopt,platforms,FALSE,
